srcip,srcport,dstip,dstport,proto,total_fpackets,total_fvolume,total_bpackets,total_bvolume,min_fpktl,mean_fpktl,max_fpktl,std_fpktl,min_bpktl,mean_bpktl,max_bpktl,std_bpktl,min_fiat,mean_fiat,max_fiat,std_fiat,min_biat,mean_biat,max_biat,std_biat,duration,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,sflow_fpackets,sflow_fbytes,sflow_bpackets,sflow_bbytes,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,dscp,classe
1,53658,192.168.1.1,53,17,1,56,1,140,56,56,56,0,140,140,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,1,140,0,0,0,0,56,140,0,0
1,50546,192.168.1.1,53,17,2,126,2,238,63,63,63,0,119,119,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,126,2,238,0,0,0,0,126,238,0,0
1,57586,192.168.1.1,53,17,1,60,1,97,60,60,60,0,97,97,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,1,97,0,0,0,0,60,97,0,0
1,53360,192.168.1.1,53,17,1,60,1,88,60,60,60,0,88,88,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,1,88,0,0,0,0,60,88,0,0
1,49496,192.168.1.1,53,17,1,69,1,155,69,69,69,0,155,155,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69,1,155,0,0,0,0,69,155,0,0
1,59838,192.168.1.1,53,17,1,56,1,88,56,56,56,0,88,88,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,1,88,0,0,0,0,56,88,0,0
1,8119,172.217.29.106,443,6,21,2534,24,5679,40,120,557,121,40,236,1470,359,0,4,46,11,0,3,46,11,86,86,86,86,0,0,0,0,0,21,2534,24,5679,13,13,0,0,852,972,0,0
1,49493,192.168.1.1,53,17,1,61,1,77,61,61,61,0,77,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,1,77,0,0,0,0,61,77,0,0
1,58167,192.168.1.1,53,17,2,124,2,218,62,62,62,0,109,109,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,124,2,218,0,0,0,0,124,218,0,0
1,8148,157.240.12.16,443,6,28,2250,31,30922,40,80,566,109,40,997,1450,629,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,28,2250,31,30922,6,9,0,0,1144,1252,0,0
1,49783,192.168.1.1,53,17,2,144,2,200,72,72,72,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,144,2,200,0,0,0,0,144,200,0,0
1,57459,192.168.1.1,53,17,2,124,1,229,62,62,62,0,229,229,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,124,1,229,0,0,0,0,124,229,0,0
1,50996,192.168.1.1,53,17,1,71,1,87,71,71,71,0,87,87,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71,1,87,0,0,0,0,71,87,0,0
1,61135,192.168.1.1,53,17,2,138,2,194,69,69,69,0,97,97,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,138,2,194,0,0,0,0,138,194,0,0
1,8104,172.217.29.100,443,6,199,15110,307,325651,40,75,1131,113,40,1060,1470,612,0,0,45,3,0,0,45,3,108,108,108,108,0,0,0,0,0,199,15110,307,325651,49,81,0,0,8020,12292,0,0
1,56399,192.168.1.1,53,17,1,75,1,186,75,75,75,0,186,186,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,1,186,0,0,0,0,75,186,0,0
1,60696,192.168.1.1,53,17,2,150,2,372,75,75,75,0,186,186,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,150,2,372,0,0,0,0,150,372,0,0
1,56018,192.168.1.1,53,17,1,77,1,188,77,77,77,0,188,188,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77,1,188,0,0,0,0,77,188,0,0
1,59853,192.168.1.1,53,17,2,140,2,260,70,70,70,0,130,130,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,140,2,260,0,0,0,0,140,260,0,0
1,63626,192.168.1.1,53,17,1,81,1,161,81,81,81,0,161,161,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,1,161,0,0,0,0,81,161,0,0
1,50175,192.168.1.1,53,17,1,63,1,79,63,63,63,0,79,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,1,79,0,0,0,0,63,79,0,0
1,60662,192.168.1.1,53,17,1,82,1,110,82,82,82,0,110,110,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82,1,110,0,0,0,0,82,110,0,0
1,59602,192.168.1.1,53,17,1,71,1,87,71,71,71,0,87,87,87,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,71,1,87,0,0,0,0,71,87,0,0
1,60352,192.168.1.1,53,17,1,75,1,103,75,75,75,0,103,103,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,1,103,0,0,0,0,75,103,0,0
1,50700,192.168.1.1,53,17,1,63,1,79,63,63,63,0,79,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,1,79,0,0,0,0,63,79,0,0
1,50491,192.168.1.1,53,17,1,79,1,95,79,79,79,0,95,95,95,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,79,1,95,0,0,0,0,79,95,0,0
1,61541,192.168.1.1,53,17,2,144,2,256,72,72,72,0,128,128,128,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,144,2,256,0,0,0,0,144,256,0,0
1,8120,172.217.29.110,80,6,17,2703,16,950,40,159,1040,331,40,59,123,25,1,7,11,4,10,8,11,4,120,120,120,120,0,0,0,0,0,17,2703,16,950,2,2,0,0,692,784,0,0
1,50083,192.168.1.1,53,17,1,68,1,112,68,68,68,0,112,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68,1,112,0,0,0,0,68,112,0,0
1,63372,192.168.1.1,53,17,2,140,2,260,70,70,70,0,130,130,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,140,2,260,0,0,0,0,140,260,0,0
1,57063,192.168.1.1,53,17,1,65,1,105,65,65,65,0,105,105,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,1,105,0,0,0,0,65,105,0,0
1,56920,192.168.1.1,53,17,1,63,1,91,63,63,63,0,91,91,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,1,91,0,0,0,0,63,91,0,0
